,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
FSR,FSR,-24.39169386,-10.63,0,1063893000,-43324000,Automobiles & Auto Parts,Auto & Truck Manufacturers,0,Americas,,,
FTCH,FTCH,-114.5631278,989.78,826640000,3590871000,-619815000,Software & IT Services,Online Services,635237000,Europe,,,
FTI,FTI,-14.98632305,1.51,3980800000,19692600000,-2885600000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,3317700000,Europe,,,
FTNT,FTNT,12.33009831,51.66,0,4044500000,527500000,Software & IT Services,IT Services & Consulting,,Americas,,,
FTS,FTS,2.551315608,6.42,19505106049,43582875098,1970149254,Electric Utilities & IPPs,Electric Utilities,18156323645,Americas,,,
FTV,FTV,8.672310058,9.19,4230100000,16051500000,539400000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,2830300000,Americas,,,
FUBO,FUBO,-97.65472387,,28848000,859349000,-516339000,Software & IT Services,Online Services,0,Americas,,,
FUL,FUL,4.034900233,12.609,1616462000,4274530000,252612000,Chemicals,Specialty Chemicals,1591479000,Americas,,,
FUN,FUN,-22.38076108,,2954244000,2693412000,-574270000,Hotels & Entertainment Services,Leisure & Recreation,2954244000,Americas,,,
FWONA,FWONA,-5.234402538,-9.32,3759000000,11191000000,-444000000,Media & Publishing,Broadcasting,3550000000,Americas,,,
GAM,GAM,-3.231268928,,89295310.21,617020029.3,-17824865.66,Media & Publishing,Entertainment Production,18270639.96,Europe,,,
GATX,GATX,1.021907134,,5385900000,8937600000,286900000,Banking Services,Corporate Financial Services,4729000000,Americas,,,
GBOX,GBOX,-40.64789797,,1279200,12262740,-5104320,Software & IT Services,Software,149900,Americas,,,
GBT,GBT,-32.57059893,-49.75,148815000,724002000,-243172000,Biotechnology & Medical Research,Biotechnology & Medical Research,148815000,Americas,,,
GBX,GBX,-0.151024404,2.859,1198682000,3390668000,34683000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,826506000,Americas,,,
GCI,GCI,-18.86366926,-97.2,1600173000,3108914000,-491648000,Media & Publishing,Consumer Publishing,1471728000,Americas,,,
GCP,GCP,7.427289775,,351700000,1417600000,45200000,Construction Materials,Construction Materials,348900000,Americas,,,
GD,GD,6.292657242,21.37,13321000000,51308000000,4133000000,Aerospace & Defense,Aerospace & Defense,9995000000,Americas,,,
GDEN,GDEN,-8.2497903,-60.579,1138112000,1570949000,-67439000,Hotels & Entertainment Services,Casinos & Gaming,1121295000,Americas,,,
GE,GE,2.194143325,,74902000000,256000000000.0,9809000000,Consumer Goods Conglomerates,Consumer Goods Conglomerates,70189000000,Americas,,,
GEF,GEF,7.221873979,25.089,2225600000,5815800000,576100000,Containers & Packaging,Non-Paper Containers & Packaging,2054800000,Americas,,,
GEL,GEL,-6.389046273,-40.899,4183831000,5933619000,-277688000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,4183831000,Americas,,,
GES,GES,-3.299031836,,365878000,2465868000,-60497000,Specialty Retailers,Apparel & Accessories Retailers,309803000,Americas,,,
GFF,GFF,2.819516362,13.16,1045683000,2604685000,170583000,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,1019077000,Americas,,,
GH,GH,-15.22937153,-24.21,806292000,2271781000,-254950000,Biotechnology & Medical Research,Biotechnology & Medical Research,806292000,Americas,,,
GHC,GHC,4.847828608,,521795000,6444119000,311460000,"Schools, Colleges & Universities","Schools, Colleges & Universities",515343000,Americas,,,
GHM,GHM,1.866608665,,23413223.33,31747864.49,1865345.38,Hotels & Entertainment Services,Leisure & Recreation,16493285.21,Europe,,,
GIII,GIII,0.940633483,2.04,512352000,2436386000,82842000,Textiles & Apparel,Apparel & Accessories,507950000,Americas,,,
GILD,GILD,0.136887276,49.16,31402000000,68407000000,4071000000,Biotechnology & Medical Research,Biotechnology & Medical Research,28645000000,Americas,,,
GIS,GIS,7.113646594,26.78,12612000000,31841900000,3277700000,Food & Tobacco,Food Processing,9786900000,Americas,,,
GKOS,GKOS,-13.19676167,-7.62,250106000,1005502000,-123553000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",189416000,Americas,,,
GLDD,GLDD,7.124795751,,323735000,958024000,111265000,Construction & Engineering,Construction & Engineering,323735000,Americas,,,
GLNG,GLNG,0.192189617,-12.7,2350782000,4314229000,125653000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,1367937000,Americas,,,
GLO,GLO,5.782920615,24.977,3526699063,7077272172,713117975.4,Telecommunications Services,Wireless Telecommunications Services,3254962008,Asia,,,
GLOP,GLOP,2.404190113,9.63,1286999000,2333048000,122480000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,1180635000,Europe,,,
GLP,GLP,3.801958785,0.5,1190540000,2540500000,185102000,Oil & Gas,Oil & Gas Refining and Marketing,1009605000,Americas,,,
GLT,GLT,1.143746292,,313521000,1286881000,49156000,Paper & Forest Products,Paper Products,288464000,Americas,,,
GLW,GLW,1.71601897,9.46,7972000000,30775000000,1007000000,Electronic Equipment & Parts,Electronic Equipment & Parts,7653000000,Americas,,,
GM,GM,2.729091965,16.27,110000000000.0,235000000000.0,6634000000,Automobiles & Auto Parts,Auto & Truck Manufacturers,72981000000,Americas,,,
GMBL,GMBL,-39.69746946,,6747020,119735040,-25726440,Software & IT Services,Online Services,6523800,Europe,,,
GNCA,GNCA,-57.85948751,,15454000,98493000,-46989000,Biotechnology & Medical Research,Biotechnology & Medical Research,0,Americas,,,
GNFT,GNFT,-39.81418656,,222830972.2,242567171.5,-101242061.6,Biotechnology & Medical Research,Biotechnology & Medical Research,207703957,Europe,,,
GNT,GNT,,,,,,Collective Investments,Closed End Funds,,Americas,,,
GO,GO,4.104784244,,181598681,436452125.1,26042989.74,Telecommunications Services,Integrated Telecommunications Services,111752564.7,Europe,,,
GOGO,GOGO,-5.143177312,48.7,1170857000,673588000,76351000,Telecommunications Services,Wireless Telecommunications Services,827968000,Americas,,,
GOOGL,GOOGL,13.5238655,19,15032000000,320000000000.0,41224000000,Software & IT Services,Online Services,12832000000,Americas,,,
GPC,GPC,1.163539896,22.24,2677145000,13440215000,428391000,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",2516614000,Americas,,,
GPI,GPI,5.375436227,23.78,2446500000,5089400000,472400000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",1179200000,Americas,,,
GPMT,GPMT,-0.93171945,6.62,3236792000,4219648000,-39846000,Residential & Commercial REITs,Specialized REITs,1527917000,Americas,,,
GPN,GPN,1.165523347,11.01,9652462000,44201545000,893953000,Professional & Commercial Services,Business Support Services,8408635000,Americas,,,
GPRE,GPRE,-9.297572422,,526159000,1578917000,-122696000,Renewable Energy,Renewable Fuels,287299000,Americas,,,
GPRK,GPRK,-25.70627423,-391.85,806933000,960266000,-110663000,Oil & Gas,Oil & Gas Exploration and Production,766897000,Americas,,,
GPRO,GPRO,-8.538922722,5.69,218172000,771399000,-36819000,"Computers, Phones & Household Electronics",Household Electronics,218172000,Americas,,,
GPS,GPS,-5.734479744,-26.71,2216000000,13769000000,-920000000,Specialty Retailers,Apparel & Accessories Retailers,2216000000,Americas,,,
GREE,GREE,,,,,,Financial Technology (Fintech) & Infrastructure,Blockchain & Cryptocurrency,,Americas,,,
GRF,GRF,4.853688601,14.83,8864549340,18655075721,1216575476,Pharmaceuticals,Pharmaceuticals,7564956033,Europe,,,
GRI,GRI,3.508322253,4.209,1817104058,4408309533,256776418.6,Real Estate Operations,"Real Estate Rental, Development & Operations",1815352697,Europe,,,
GRPN,GRPN,-19.11528392,-21.16,434842000,1411507000,-283782000,Diversified Retail,Discount Stores,229490000,Americas,,,
GSL,GSL,3.165479571,5.03,769456000,1274191000,104758000,Freight & Logistics Services,Marine Freight & Logistics,692775000,Europe,,,
GSY,GSY,9.679359044,30.32,739710133.5,1179824038,170020424.2,Banking Services,Consumer Lending,541563236.4,Americas,,,
GT,GT,-7.42037933,-12.06,5990000000,16506000000,-837000000,Automobiles & Auto Parts,Tires & Rubber Products,5200000000,Americas,,,
GTE,GTE,-47.92759792,-120.7,774770000,1201762000,-853237000,Oil & Gas,Oil & Gas Exploration and Production,771876000,Americas,,,
GTLS,GTLS,2.775193492,7.059,442500000,2570500000,97200000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,221600000,Americas,,,
GTN,GTN,5.610673965,,3974000000,7643000000,740000000,Media & Publishing,Broadcasting,3974000000,Americas,,,
GTTNQ,GTTNQ,-2.278570891,-30.01,3264700000,4757700000,123300000,Software & IT Services,IT Services & Consulting,3192600000,Americas,,,
GTY,GTY,8.32196649,,740100146.6,1364956033,169369809.5,Real Estate Operations,"Real Estate Rental, Development & Operations",178727406,Europe,,,
GULF,GULF,3.235070402,7.21,4717655716,8175116727,248153438.4,Electric Utilities & IPPs,Independent Power Producers,4080475741,Asia,,,
GVA,GVA,-6.80778946,,338800000,2379996000,-158345000,Construction & Engineering,Construction & Engineering,330522000,Americas,,,
GWW,GWW,12.27642276,42.23,2397000000,6295000000,1019000000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,2389000000,Americas,,,
GYC,GYC,4.335246332,5.08,5212906693,13270371275,781820957.5,Real Estate Operations,"Real Estate Rental, Development & Operations",4966104055,Europe,,,
H,H,-8.013222387,-15.25,3244000000,9129000000,-795000000,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",2977000000,Americas,,,
HAE,HAE,5.148568221,18.3,707608000,1819923000,89747000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",690592000,Americas,,,
HAL,HAL,6.827748192,16.51,9134000000,22321000000,1800000000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,9127000000,Americas,,,
HALO,HALO,22.5318948,106.33,397228000,579924000,144255000,Biotechnology & Medical Research,Biotechnology & Medical Research,0,Americas,,,
HBI,HBI,-1.511146487,49.86,4003370000,7719867000,6501000,Textiles & Apparel,Apparel & Accessories,3739434000,Americas,,,
HBM,HBM,4.178707143,,2244921097,4546064499,312233316.8,Specialty Retailers,Home Improvement Products & Services Retailers,653921012.3,Europe,,,
HCC,HCC,-2.612007888,-4.669,418384000,1393936000,-23595000,Metals & Mining,Iron & Steel,379908000,Americas,,,
HD,HD,21.12348851,,37238000000,70581000000,18278000000,Specialty Retailers,Home Improvement Products & Services Retailers,33122000000,Americas,,,
HEES,HEES,-1.651894999,18.36,1238965000,1980484000,17194000,Professional & Commercial Services,Business Support Services,1238660000,Americas,,,
HEI,HEI,-5.461902882,-13.3,11929408891,39491084514,-1605886663,Construction Materials,Construction Materials,9568392770,Europe,,,
HEP,HEP,8.208442023,44.84,1477363000,2167565000,212855000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,1405603000,Americas,,,
HES,HES,-13.98418836,-12.68,8534000000,18821000000,-2519000000,Oil & Gas,Oil & Gas Exploration and Production,8286000000,Americas,,,
HEX,,,,,,,,,,,,,
HEXO,HEXO,-11.44945408,-17.699,399549318.4,1051967121,-68560545.31,Pharmaceuticals,Pharmaceuticals,26534883.72,Americas,,,
HFC,HFC,-4.350333024,-2.509,3149731000,11506864000,-678658000,Oil & Gas,Oil & Gas Refining and Marketing,3142718000,Americas,,,
HHC,HHC,-0.036151103,,4287369000,9140332000,-132730000,Real Estate Operations,"Real Estate Rental, Development & Operations",3965657000,Americas,,,
HI,HI,6.378166277,,1212900000,4014900000,431100000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,1212900000,Americas,,,
HII,HII,9.165130366,39.9,1686000000,8157000000,799000000,Aerospace & Defense,Aerospace & Defense,1686000000,Americas,,,
HL,HL,-0.629131368,1.36,523007000,2700210000,51581000,Metals & Mining,Non-Gold Precious Metals & Minerals,507242000,Americas,,,
HLF,HLF,12.94941526,,2428400000,3076100000,640600000,Food & Tobacco,Food Processing,2405200000,Americas,,,
HLIT,HLIT,-4.966026212,2.69,151364000,591523000,-13811000,Communications & Networking,Communications & Networking,139593000,Americas,,,
HLX,HLX,0.490205219,1.29,349563000,2498278000,22264000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,258912000,Americas,,,
HMLP,HMLP,6.331563564,9.72,433054000,981810000,94766000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,373935000,Americas,,,
HOG,HOG,0.011517936,0.07,8986804000,12010601000,9679000,Automobiles & Auto Parts,Auto & Truck Manufacturers,5932933000,Americas,,,
HOLX,HOLX,23.20345998,63.09,3051700000,8919900000,2458700000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,2712200000,Americas,,,
HON,HON,7.89356265,27.85,22384000000,64586000000,6012000000,Consumer Goods Conglomerates,Consumer Goods Conglomerates,16218000000,Americas,,,
HOT,HOT,3.054700684,43.93,6540001221,20739563996,1111010015,Construction & Engineering,Construction & Engineering,4802267953,Europe,,,
HP,HP,-6.8424085,-8.919,1025483000,5034128000,-428549000,Oil & Gas Related Equipment and Services,Oil & Gas Drilling,541997000,Americas,,,
HPE,HPE,6.135309809,14.449,13448000000,57699000000,3488000000,"Computers, Phones & Household Electronics",Computer Hardware,9848000000,Americas,,,
HPQ,HPQ,17.74569865,,7492000000,38610000000,7590000000,"Computers, Phones & Household Electronics",Computer Hardware,6372000000,Americas,,,
HRI,HRI,1.990439409,12.77,1667300000,3588400000,190600000,Professional & Commercial Services,Business Support Services,1622900000,Americas,,,
HRL,HRL,8.043854415,14.11,3323903000,12696329000,1122599000,Food & Tobacco,Food Processing,3270510000,Americas,,,
HROW,HROW,-5.866556851,,16301000,57474000,312000,Pharmaceuticals,Pharmaceuticals,12378000,Americas,,,
HSC,HSC,-1.057537802,5.53,1292215000,2993287000,19161000,Professional & Commercial Services,Environmental Services & Equipment,1264322000,Americas,,,
HSKA,HSKA,-4.355985056,-6.52,49569000,399839000,-8192000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",49013000,Americas,,,
HSY,HSY,14.76835662,66.09,4602625000,9131845000,1657119000,Food & Tobacco,Food Processing,4013868000,Americas,,,
HUBB,HUBB,7.128482895,20.539,1590000000,5085100000,525400000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,1436900000,Americas,,,
HUBS,HUBS,-4.800439447,9.13,478936000,1973366000,-61328000,Software & IT Services,Software,471099000,Americas,,,
HUM,HUM,10.28371563,19.36,6980000000,34969000000,4986000000,Healthcare Providers & Services,Managed Healthcare,6060000000,Americas,,,
HWM,HWM,1.454921565,8.65,5075000000,11443000000,626000000,Aerospace & Defense,Aerospace & Defense,4699000000,Americas,,,
HXL,HXL,1.101481874,1.39,926400000,2917800000,14100000,Aerospace & Defense,Aerospace & Defense,924200000,Americas,,,
HYDR,HYDR,4.992303795,7.96,2791570674,12766431766,801870172.1,Electric Utilities & IPPs,Electric Utilities,1673912454,Europe,,,
IAG,IAG,-20.98387488,-106.359,19030288227,37024914509,-9069369809,Passenger Transportation Services,Airlines,6106497313,Europe,,,
IART,IART,3.870619348,14.24,1554471000,3615136000,129787000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",1408221000,Americas,,,
IB,,,,,,,,,,,,,
IBHD,IBHD,0.168693103,,66588383.08,487460291,-2185980.1,Real Estate Operations,"Real Estate Rental, Development & Operations",53820293.53,Asia,,,
IBM,IBM,3.273234898,36.329,51704000000,132000000000.0,4837000000,Software & IT Services,IT Services & Consulting,44917000000,Americas,,,
IBP,IBP,8.50305292,45.3,569815000,1187676000,161867000,Construction & Engineering,Construction & Engineering,541957000,Americas,,,
ICL,ICL,0.254817646,6.57,2732000000,9664000000,202000000,Chemicals,Agricultural Chemicals,1792000000,Asia,,,
ICPT,ICPT,-41.16896003,476.82,560582000,580489000,-231240000,Biotechnology & Medical Research,Biotechnology & Medical Research,560582000,Americas,,,
IDEA,IDEA,-20.55440495,150.49,27581142240,27821841202,-3645268469,Telecommunications Services,Wireless Telecommunications Services,21523373942,Asia,,,
IDR,IDR,-1.309136918,-9.04,2032672203,5450539814,-40162432.83,Software & IT Services,IT Services & Consulting,1676632877,Europe,,,
IEP,IEP,-9.946399065,,8059000000,24987000000,-2029000000,Oil & Gas,Oil & Gas Refining and Marketing,7978000000,Americas,,,
IEX,IEX,9.182395899,16.51,1044442000,4414398000,520713000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,1044354000,Americas,,,
IFF,IFF,2.737181967,10.34,4419732000,13555671000,566484000,Food & Tobacco,Food Processing,3779359000,Americas,,,
IG,IG,4.649677277,20.93,6601796532,11149253786,736808744.5,Natural Gas Utilities,Natural Gas Utilities,5680383488,Europe,,,
IGLDF,IGLDF,-10.27531824,,3407843662,4369696158,-373443983.4,Telecommunications Services,Integrated Telecommunications Services,2579842056,Asia,,,
IGT,IGT,-6.572830549,-6.1,8292036000,12992488000,-140765000,Hotels & Entertainment Services,Casinos & Gaming,7857086000,Europe,,,
IHG,IHG,-5.631972273,-3.42,4217000000,5039000000,-153000000,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",2898000000,Europe,,,
IHI,IHI,-4.682268451,,743312164.1,1885807279,-61126038.1,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",670813385.4,Europe,,,
IIVI,IIVI,5.065851369,14.82,1407407000,6512650000,380489000,Electronic Equipment & Parts,Electronic Equipment & Parts,1313091000,Americas,,,
ILMN,ILMN,8.804778203,14.27,1184000000,7585000000,580000000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,673000000,Americas,,,
IMAX,IMAX,-16.4963359,-24.02,305676000,997750000,-121821000,Media & Publishing,Entertainment Production,305676000,Americas,,,
IMBI,IMBI,-6.023942829,,53399000,226637000,-7940000,Specialty Retailers,Miscellaneous Specialty Retailers,50666000,Americas,,,
IMKTA,IMKTA,12.74906718,,589513940,2018343960,348974970,Food & Drug Retailing,Food Retail & Distribution,571913200,Americas,,,
IMNPQ,IMNPQ,-82.5309664,,4753000,28608000,-16031000,Pharmaceuticals,Pharmaceuticals,1457000,Americas,,,
IMO,IMO,-4.629883567,-1.69,4072270228,29875098193,-1923016496,Oil & Gas,Oil & Gas Refining and Marketing,3493322859,Americas,,,
INDF,INDF,6.749619966,16.109,3811441453,11619409972,918026139.6,Food & Tobacco,Food Processing,2746814672,Asia,,,
INDI,INDI,2.402118128,,825307630,1248753200,44478210,Oil & Gas,Oil & Gas Exploration and Production,800468420,Europe,,,
INFN,INFN,-12.30188331,-8.89,550462000,1732497000,-155199000,Communications & Networking,Communications & Networking,445996000,Americas,,,
INFO,INFO,7.299442345,14.31,4647000000,16913900000,1561400000,Professional & Commercial Services,Professional Information Services,3899700000,Europe,,,
INGR,INGR,5.489223135,14.88,2186000000,6858000000,577000000,Food & Tobacco,Food Processing,1748000000,Americas,,,
INO,INO,-47.64796419,,18655820,539772470,-119375980,Biotechnology & Medical Research,Biotechnology & Medical Research,18655820,Americas,,,
INSG,INSG,-57.19929932,,165147000,227394000,-101488000,Communications & Networking,Communications & Networking,165147000,Americas,,,
INSM,INSM,-38.23188734,-109.42,372112000,796155000,-265232000,Biotechnology & Medical Research,Biotechnology & Medical Research,356318000,Americas,,,
INSW,INSW,-0.331193638,12.56,535815000,1586539000,38683000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,474332000,Americas,,,
INTC,INTC,14.43226352,28.3,36401000000,153000000000.0,23684000000,Semiconductors & Semiconductor Equipment,Semiconductors,33897000000,Americas,,,
INTEQ,INTEQ,-7.391827263,,5921940000,12797681000,-116865000,Telecommunications Services,Wireless Telecommunications Services,0,Europe,,,
INTU,INTU,15.59345105,35.49,2034000000,15516000000,2500000000,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),2034000000,Americas,,,
INVA,INVA,34.07732331,52.59,385517000,999570000,321123000,Pharmaceuticals,Pharmaceuticals,385517000,Americas,,,
IO,IO,-17.3913451,67.98,143731000,193593000,-14589000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,0,Americas,,,
IONS,IONS,-17.31380095,-4.24,939639000,2389755000,-172082000,Biotechnology & Medical Research,Biotechnology & Medical Research,623529000,Americas,,,
IP,IP,1.24254092,14.22,8093000000,31718000000,1018000000,Containers & Packaging,Paper Packaging,7982000000,Americas,,,
IPG,IPG,1.974040777,23.99,3466300000,18042700000,521400000,Media & Publishing,Advertising & Marketing,2915800000,Americas,,,
IQ,IQ,-15.07271523,-74.84,3261769655,7384740077,-925748505.7,Software & IT Services,Online Services,1927465900,Asia,,,
IREN,IREN,7.27817911,5.78,632696870.4,1757977630,153898994.5,Real Estate Operations,"Real Estate Rental, Development & Operations",361541068.8,Europe,,,
IRWD,IRWD,22.07433372,,430256000,559238000,142940000,Biotechnology & Medical Research,Biotechnology & Medical Research,430256000,Americas,,,
ISAT,ISAT,-1.003505485,-5.83,1981504060,4471420228,170892378.9,Telecommunications Services,Wireless Telecommunications Services,967729772.1,Asia,,,
IT,IT,3.687567398,43.369,1978801000,7315967000,445336000,Software & IT Services,IT Services & Consulting,1958286000,Americas,,,
ITP,ITP,6.879822045,31.73,489964000,1109635000,115774000,Containers & Packaging,Non-Paper Containers & Packaging,428711000,Americas,,,
ITRI,ITRI,-2.140299357,-7,920936000,2607023000,-10395000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,902577000,Americas,,,
ITT,ITT,1.4119948,13.57,119800000,4277600000,226500000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,13000000,Americas,,,
ITW,ITW,13.74837027,67.96,8122000000,15612000000,2882000000,Consumer Goods Conglomerates,Consumer Goods Conglomerates,7772000000,Americas,,,
IVC,IVC,-3.145530272,-6.669,311595000,945981000,-24439000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",239441000,Americas,,,
IWB,IWB,6.805657761,14.65,53404494.38,271300085.5,22249084.03,Beverages,Distillers & Wineries,29075366.39,Europe,,,
IWSY,IWSY,-62.49353783,,1571000,14802000,-9279000,Software & IT Services,Software,653000,Americas,,,
J,J,2.034547111,,56918514.98,107776816.2,3942847.204,Real Estate Operations,"Real Estate Rental, Development & Operations",18859481.69,Asia,,,
JBHT,JBHT,11.96286917,26.609,1301229000,6791109000,1045530000,Freight & Logistics Services,Ground Freight & Logistics,945257000,Americas,,,
JBL,JBL,4.495769211,43.219,3197000000,16654000000,1055000000,Electronic Equipment & Parts,Electronic Equipment & Parts,2878000000,Americas,,,
JBLU,JBLU,-10.69341336,-36.06,4863000000,13406000000,-1714000000,Passenger Transportation Services,Airlines,4387000000,Americas,,,
JBT,JBT,5.848204687,20.95,524900000,1805900000,163100000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,522500000,Americas,,,
JE,JE,-34.90632634,,522169135.2,869410734.2,-1809774646,Electric Utilities & IPPs,Electric Utilities,1242236.025,Americas,,,
JFB,JFB,-1.388132825,,69472905.41,120476201.2,2685917.988,Household Goods,"Appliances, Tools & Housewares",34023496.18,Europe,,,
JKS,JKS,0.76765388,9.94,4182692664,8158218371,273555152.5,Renewable Energy,Renewable Energy Equipment & Services,1119024245,Asia,,,
JNJ,JNJ,8.666895154,,35266000000,175000000000.0,16497000000,Pharmaceuticals,Pharmaceuticals,32635000000,Americas,,,
JNPR,JNPR,2.8304787,11.35,2127300000,9378300000,298100000,Communications & Networking,Communications & Networking,1705800000,Americas,,,
JWN,JWN,-7.159533074,-107.48,3269000000,9538000000,-1047000000,Diversified Retail,Department Stores,2769000000,Americas,,,
K,K,12.51324391,16.23,1998600000,10933200000,1899400000,Metals & Mining,Gold,1424200000,Americas,,,
KALU,KALU,1.698664072,6.52,846200000,1864700000,81100000,Metals & Mining,Aluminum,838100000,Americas,,,
KAMN,KAMN,-5.168830559,7.45,193215000,1306393000,-75872000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,185401000,Americas,,,
KAR,KAR,0.007474177,3.95,1894600000,6798200000,136400000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",1853800000,Americas,,,
KARE,KARE,3.062430213,,114630765.9,358157411.2,20009966.67,Construction & Engineering,Construction & Engineering,68936991.93,Asia,,,
KBH,KBH,10.09163394,19.87,1685027000,5835918000,671113000,Homebuilding & Construction Supplies,Homebuilding,1685027000,Americas,,,
KBR,KBR,-0.921492456,14.27,1603000000,5705000000,57000000,Software & IT Services,IT Services & Consulting,1586000000,Americas,,,
KDP,KDP,2.731200338,8.44,13983000000,49779000000,2374000000,Beverages,Non-Alcoholic Beverages,11143000000,Americas,,,
KEX,KEX,-4.525299812,3.41,1468586000,5924174000,-420759000,Freight & Logistics Services,Marine Freight & Logistics,1468546000,Americas,,,
KEY,KEY,0.822855075,2.13,2696484682,5940758837,57463472.11,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,2530008641,Americas,,,
KEYS,KEYS,11.92079472,32.88,1791000000,7781000000,1080000000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,1791000000,Americas,,,
KFY,KFY,3.984653351,10.61,396814000,3056526000,155784000,Professional & Commercial Services,Employment Services,394794000,Americas,,,
KLAC,KLAC,21.25051481,74.83,3442767000,10271124000,2488480000,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing,3422767000,Americas,,,
KLR,KLR,-22.72939222,116.05,58591000,118502000,-26370000,Telecommunications Services,Wireless Telecommunications Services,34674000,Europe,,,
KLXE,KLXE,-67.37653382,,250200000,362700000,-301100000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,243900000,Americas,,,
KMB,KMB,13.74138877,894.09,8392000000,17523000000,3208000000,Personal & Household Products & Services,Personal Products,7906000000,Americas,,,
KMI,KMI,,9.65,33320000000,70416000000,2916000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,30674000000,Americas,,,
KMT,KMT,2.048514628,6.9,600473000,2665761000,102168000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,592108000,Americas,,,
KO,KO,8.945341064,44.07,42793000000,87296000000,9579000000,Beverages,Non-Alcoholic Beverages,40125000000,Americas,,,
KOF,KOF,3.602027478,14.63,205584713,1720510282,95584235.89,Homebuilding & Construction Supplies,Homebuilding,177737487.5,Europe,,,
KOS,KOS,-10.05729506,-40.59,2111431000,3867593000,-387290000,Oil & Gas,Oil & Gas Exploration and Production,2103931000,Americas,,,
KPTI,KPTI,-64.5621064,-286.5,191016000,313050000,-171850000,Biotechnology & Medical Research,Biotechnology & Medical Research,191016000,Americas,,,
KR,KR,5.511190613,30.24,13413000000,48662000000,2780000000,Food & Drug Retailing,Food Retail & Distribution,11566000000,Americas,,,
KSS,KSS,-1.090592801,-6.83,3953000000,15337000000,-262000000,Diversified Retail,Department Stores,2451000000,Americas,,,
KTOS,KTOS,5.842549476,5.15,340700000,1562800000,29300000,Aerospace & Defense,Aerospace & Defense,301000000,Americas,,,
L,L,3.302899735,13.74,13049422488,28184175375,1858254105,Food & Drug Retailing,Food Retail & Distribution,5067180011,Americas,,,
LAC,LAC,-11.35205521,-19.98,127434000,326723000,-31559000,Metals & Mining,Specialty Mining & Metals,126940000,Americas,,,
LAD,LAD,6.725296725,21.22,3927900000,7902100000,697100000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",1824300000,Americas,,,
LBC,LBC,1.352466152,,117179428,326216999.8,16465117.48,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",44937187.88,Asia,,,
